更新时间,#genre#
2024-10-26 06:36:11,url
📺央视频道,#genre#
CCTV-1,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://112.234.23.81:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://122.139.47.206:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://221.213.69.82:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV-1,http://119.163.57.184:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://183.24.48.6:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0$1920x1080
CCTV-1,http://122.234.44.141:8888/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://115.230.189.89:9999/rtp/233.50.201.222:5140$1920x1080
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.222:5140
CCTV-1,http://122.234.44.141:8888/rtp/233.50.201.99:5140$1920x1080
CCTV-1,http://115.230.189.89:9999/rtp/233.50.201.99:5140$1920x1080
CCTV-1,http://120.55.49.231:3095/rtp/233.50.201.99:5140
CCTV-1,http://49.86.209.44:8800/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://218.93.156.115:8888/rtp/239.49.8.129:6000$1920x1080
CCTV-1,http://49.86.209.44:8800/rtp/239.49.1.1:6000$1920x1080
CCTV-1,http://218.93.156.115:8888/rtp/239.49.1.1:6000$1920x1080
CCTV-1,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv
